名稱,分類,緯度,經度,地址,電話,介紹,圖片
光正堂,美食饗宴;伴手禮;後火車站商圈,23.484409,120.440797,嘉義市北興街200號,05-2329307,創立於日治昭和4年（1929）的「光正堂」，至今已有八十多年的歷史，早年是日本人經營的一家和菓子店，店面開設在中央噴水池附近，後來因日本在二次世界大戰戰敗，多數僑民必須撤回日本，因此光正堂便交由臺灣的老闆接手，至今仍沿用原名稱。多年前，日本老闆的兒子還曾回光正堂來探望呢！<br>  現今接手光正堂的陳老闆是第二代經營者，他的父親在日治時期就是在光正堂擔任製作和菓子的師傅，由於日本老闆撤退回日本，因此他便買下光正堂的產權，繼續延續光正堂的生命。後來為了符合臺灣人的口味及節俗習慣，自行研發推出多款臺式喜餅、糖果及餅乾等，並且保留了日式和菓子風味的麻糬。<br>許多年來，光正堂一直是嘉義市民熟悉且喜愛的餅舖，結婚時所用的傳統喜餅與年節拜拜或小孩滿月時所必備的麻糬曾經是店內最重要的熱銷產品，各式甜點也深受消費者的青睞，因而光正堂在嘉義享有很高的知名度。<br>  雖然時代變遷，各類食品充斥市面，消費者擁有更多的選擇，傳統糕餅不若早年興盛，不過光正堂也隨著時代的潮流，開發以日式「大福」為製作基底的麻糬伴手禮。由於麻糬的外皮是老闆自行研磨糯米現作的，保有濃濃的米香口感，再加入用心熬煮調製的紅豆、芝麻、抹茶等多種不同口味的餡料，完全不添加防腐劑，新鮮美味看的到也吃的到，就是因為老闆對材料挑選與品質的堅持，讓小小的一顆麻糬深受顧客們的喜愛。<br>由於中山路的老店面另做其他用途，因此光正堂的店舖已遷至老闆娘位於北興街的娘家，希望舊雨新知能到新的店面，繼續支持屹立八十多年歲月的光正堂。,http://fun.chiayi.gov.tw/cy2012/images/782/images/光正堂1.jpg
阿來碗粿,美食饗宴;國民美食,23.497284,120.455368,嘉義市台林街217-2號,05-276-9684,提起臺灣小吃一定會想到：碗粿和米糕。實在的臺灣古早原味，緬懷古早的情懷；套一句廣告詞：「明早的氣力，今天阮都傳呼你！」<br>臺灣人的巧思竟然能將「米」變化成多種吃法，戲法人人會變、各有巧妙不同。嘉義市耐斯王子大飯店周邊一帶，是嘉義市著名的「米食發源地」，嘉義市米食名店大多出身於此。第二代經營「阿來碗粿」的老闆沈先生說：記憶中阿公和阿爸用手推車沿著臺林街、忠孝路、國華街、林森路口販賣碗粿和熱湯。手推車上層放碗粿，下層有火爐，火爐上是熱呼呼的湯鍋。到有人潮的車站和工廠，當時嘉義市林木業非常發達，木材行的工人大都是作粗重的工作，工時又長，上、下午需要吃點心來補充體力。<br>小時候就很懂事的沈先生，每天都會幫忙父母製作碗粿的前置作業，將父母爆過香的紅蔥頭、香菇、瘦肉等等佐料按照比例放入碗裏，等候父母將米泡過水後研磨成米漿，又用滾燙的水加入冷水把米漿快速的沖泡，倒入放好佐料的碗裏放入蒸籠裡蒸熟。現在阿來碗粿為了讓品質更穩定，炊具改用天然氣，蒸籠則是檜木製的，吸水效果最好，這也讓碗粿、米糕的香氣與賣相更好。<br>除了碗粿以外，阿來碗粿的米糕千萬別錯過。米糕採用大林的糯米，泡水、瀝乾水分、隔天用熬出大骨香味的高湯伴入糯米中蒸熟，所以味道更獨特！沈老闆說：現在仍然從凌晨3點就要起床預備蒸、煮、燉、熬、爆、炒等繁複的準備工作，才能一大早就帶給客人們一天的元氣。<br>阿來碗粿仍舊保持最真的食材製作方式，但在經營方面已開始量產走向企業化經營，阿來碗粿同時也秉持著關懷社會與回饋社會的理念與態度，批發碗粿給弱勢的家庭販售，希望可以給他們一個翻身的機會。,http://fun.chiayi.gov.tw/cy2012/images/609/images/阿來碗粿1.jpg
可樂洗車廠,文化巡禮;文化展館;後火車站商圈,23.481615,120.427757,嘉義市北港路328號,05-2342598,紅通通的可樂就像老闆陳先生一樣直率爽朗，洋溢著熱情與活力。或者就是這樣相同的特質，將他們完美的結合在一起，如此的密不可分。<br>  在洗車廠旁設置免費空間，將汽車美容專業與珍藏的可樂產品結合，大方分享著自己多年的收藏。陳先生說「美麗的東西要被人觀賞才會開心啊！」。所以儘管收藏品內不乏價值昂貴的單品，老闆依然秉持人性本善的觀點，不主動將收藏櫃鎖上，而是讓每位欣賞的朋友都能夠親手把玩，用身體的溫度感受珍藏品的獨到特殊。<br>  從各式形狀特異的可樂瓶罐，到溜溜球等相關產品，常言雖道「玩物喪志」，然而對老闆來說，認真的工作並且專注在收藏品上，從來就不曾有所衝突。不論是由三萬個可樂瓶蓋親自釘成的地板，或由可樂海報舖設的空間，從頭到腳都能感受這無所不在的熱力，引發我們心中潛藏許久對事物的執著與熱愛。<br>只因二十年前一罐友人贈送的曲線瓶可樂，開啟了老闆的收藏旅程，這隻可樂瓶雖不甚具收藏價值，卻是啟蒙他踏上收藏之路的重要關鍵。在早期收藏的過程中自然也曾遇到不肖商人哄抬價格，所以近年開始，老闆針對一九六○到八○年代的收藏品下手。透過關係才能到手的賀卡或刊物，儘管在他人眼中並不值錢，但金錢難以衡量的價值與獨特，才是老闆愛不釋手的主因。這喜愛與眾不同的習性，從種類繁多的可樂收藏中可見一斑。<br>突破傳統而營造出的差異化，賦予了深度與廣度，如同老闆一樣，活得精采豐富的快意人生。,http://fun.chiayi.gov.tw/cy2012/images/586/images/可樂洗車廠1.jpg
伍梨義大利麵餐廳,美食饗宴;異國料理,23.474569,120.460715,嘉義市垂楊路29-1號,05-2238941,伍梨，創店於民國86年（1997），是嘉義市第一間賣義大利麵的餐廳！要走在時代的前端，是要有十足的勇氣和冒險精神的；很好奇為何店名要取「伍梨」！有特別的故事或典故嗎？去問問老闆吧！（記得要先預約喔！）<br>為何賣義大利麵？老闆娘說：老闆之前是義式比薩師傅，十幾年前那時日本很瘋義式料理，國人也開始注重養生，輕食主義漸漸被接受，正因如此，所以老闆就開始自創、研究、學習如何做出適合國人口味的義大利麵料理。<br>問老闆娘為何要在嘉義市開店？因為老闆娘是嘉義人嘛！有媽媽可以幫忙照料他們的小寶貝，所以才能讓老闆夫妻倆全心全意地追求夢想。伍梨的老闆親自掌廚，真材實料、食材新鮮且不用調理包。由於義大利麵首重醬汁，因此老闆不惜成本自國外進口高檔食材及香料、佐料等，搭配以新鮮食材所熬煮的醬汁，才能料理出一道道風味獨特的美味義大利麵。義大利麵條本身需要完全乾燥，絕對不添加防腐劑，所有料理都使用義大利空運來臺純手工現榨的頂級橄欖油，因此伍梨的義大利麵更健康、更養生。<br>店內義大利麵的口味眾多，為了應付時常滿座的顧客，老闆更練就了超級現炒功力。在許多美味的菜單當中，老闆娘則強力推薦茄汁海鮮義大利麵，下次光臨伍梨時記得品嚐看看！。<br>一家店面的格局擺設完全反應出經營者之匠心獨具，義大利麵也可以很傳統、很藝術、很隨性，在洋溢著溫馨、舒適又親切的氣氛中用餐，真是人生一大享受。在此提醒您，記得每月5號5人同行，可享一人免費的優惠！因為這是老闆的浪漫。,http://fun.chiayi.gov.tw/cy2012/images/435/images/伍梨義大利麵餐廳1.jpg
愛玩美旅行社,交通住宿;交通;後火車站商圈,23.480059,120.439479,嘉義市中興路23-1號1樓,05-2911658,蔡先生的媽媽在蔡先生小時候就從事旅遊業，因此他對旅遊業再熟悉不過了。不過蔡先生他在校所學的是食品科系，原本在食品公司有一份很穩定的收入，到了晚上就利用業餘時間幫媽媽管理旅遊網站。也許是潛移默化，耳濡目染的結果，蔡先生在管理旅遊網站時很快就上手了。<br>網路是一個趨勢也是一個非常便捷的工具。蔡先生幫媽媽行銷旅遊行程並增加曝光率，透過網路天涯若比鄰的特性，蔡媽媽所帶過的旅遊團，凡走過必留下痕跡。就這樣幫媽媽在網路上吸引很多客源，又與大旅行社密切的合作。<br>蔡先生幫媽媽很成功的管理旅遊網站，過了一年，開啟了蔡先生走出另一片天，於民國98年（2009）9月蔡先生自己創立了「愛玩美旅行社」，因為喜「愛玩」樂在「美」麗的風景裏面！蔡先生要讓喜愛旅遊的朋友們感受到愛玩美旅行社的價值是專業、友善的。<br>蔡先生經營的理念是：擴散他對旅遊的熱情。他也運用本身是嘉義在地人的強項，了解當地的風景名勝，為旅行團量身打造設計包裝，也規劃自由行的旅遊形式，一日至五日的行程皆有規劃，並標榜2人就可成行且天天都可出團。套餐式包裝行程，交通、食、宿、觀光景點導覽，各個環節都有規劃安排。<br>蔡先生要將臺灣的阿里山、日月潭、溪頭，清靜農場、墾丁以及澎湖美麗的景色，藉著愛玩美旅行社獨特的專業的行銷服務，讓旅客們都能在美麗的湖光山色之中盡情享受旅遊的美好時光。,http://fun.chiayi.gov.tw/cy2012/images/750/images/愛玩美旅行社1.jpg
四季自然冰品,美食饗宴;風味茶飲,23.475794,120.446879,嘉義市民族路584號,05-2243879,修生、養性、安家、立業、治國、平天下，自古有明訓：一個男人成了家以後就要挑起一家的生活重擔，給家人一個安樂窩。很幸運的是這個男人背後有一雙推動搖籃的手，跟他一起打拼，一起揮汗，一起逐夢。<br>四季自然冰品有著百年老字號冰品名店的技術指導作為底子，難怪店名取「四季自然冰品」，希望所有鄉親好朋友們，一年四季都可以來消費。可見老闆夫婦的自信心有多大。<br>經營四季自然冰品邁入第九年，在嘉義早已建立起好聲譽，來店消費過的客人皆給予高度的評價，只見那絡繹不絕的客群就是最好的見證。四季自然冰品自然、單純、養生、好滋味，所選用衛生冰塊都是品質安全有保障的。<br>剉冰的重要配料有紅豆、綠豆、薏仁…等，各項食材的熬煮技巧及火候必須拿捏得宜，每一個步驟都是環環相扣，更需要經驗的累積，所熬製而成的食材才能讓客人們吃在嘴裏，甜蜜蜜在心坎裡。<br>純天然愛玉凍是自家搓洗的，口感Q軟、沁涼又消暑。芋圓、蕃薯圓都是純手工自家製作的，天然滋養好健康。粉圓採用純蕃薯粉製作，口感可分辨得出來，絕無添加人工Q劑和人工色素。糖水是冰品的另一個重要元素，四季自然冰品都是用過濾水熬煮砂糖，無添加任何人工的甘味。<br>四季自然冰品一年四季為鄉親好友們預備最純淨天然的養生飲品，依季節冷、熱給您最好的、最安心的、最健康的選擇。,http://fun.chiayi.gov.tw/cy2012/images/599/images/四季自然冰品1.jpg
妙雲蘭若,古蹟攬勝;廟宇,23.489431,120.470868,嘉義市圳頭里盧厝135號,05-2765143,想來到嘉義搜尋城市中的境外桃源嗎？那麼「妙雲蘭若」肯定是您的答案。<br>妙雲蘭若是一座佛寺，矗立在嘉義市東郊的丘陵地，佔地甚廣，一踏進妙雲蘭若院區，可以望見草地上多處裝置有活潑生動的石雕作品，有可愛的小沙彌在寫書法，還有小沙彌在打水等等，生動有趣的展現出家人的生活，有別於一般佛寺給人莊重不能嬉鬧的嚴肅氣氛，尤其最特別的是在石亭下居然還有凱蒂貓造型的石椅，讓人不覺莞爾一笑。<br>「妙雲蘭若」是由高僧「印順導師」於民國52年（1963）所建立的，是目前臺灣唯一保留印順導師關房之最原始建築，導師於此閉關編著的《妙雲集》是海內外佛教界重要的著作之一。「印順導師」生於清光緒32年（1906），走過二十世紀中國的苦難，顛沛中志向佛法探詢，創辦學院，內修外弘，流離中懷法佈施，著作等身，實踐了為法為眾生的悲願，是中國第一位博士比丘，為中國佛教點起當代的光源，被譽為「玄奘以來第一人」。導師畢生提倡「人間佛教」思想，重視從「人」而學習菩薩行，由菩薩行修學圓滿而成佛。<br>妙雲蘭若建築莊嚴典雅、幽靜深遠，民國100年（2011）新大殿興建完成，印順導師紀念館也落成啟用，大殿正門懸掛著于右任先生所題「妙雲蘭若」木匾，兩旁石柱則刻有弘一大師所題之對聯：「無上勝妙地，離垢清涼園」。來到這裡，看著導師行跡百年留存下來的佛學著作手稿，不禁讓人感念導師倡導人間佛教的弘願。,http://fun.chiayi.gov.tw/cy2012/images/463/images/妙雲蘭若1.jpg
多那之咖啡蛋糕烘焙坊,美食饗宴;風味茶飲,23.483843,120.447566,嘉義市林森西路206號,05-2282626,多那之創立於1989年高雄左營，有鑑於市場的變遷，於2006年轉型為複合次咖啡，並不斷的研發不同的新產品，注重食材的挑選，堅持嚴選最新鮮的食材烹飪製作，兼顧美味及健康趨勢，為了滿足支持多那之的顧客，長期以來維持半年或不定期的發布新產品之傳統，商品的多樣化及各大節慶獨具巧思地的各類產品，深獲廣大顧客響應。開放式消費空間，以明亮、現代化的裝潢格局、巧思的室內及室外休憩空間及視覺上的舒適感，讓顧客更能享受購物的樂趣。,http://fun.chiayi.gov.tw/cy2012/images/673/images/多那之咖啡蛋糕烘焙坊1.jpg
圓福寺,古蹟攬勝;廟宇,23.484562,120.464312,嘉義市圓福街37號,05-2769675,佛光山嘉義圓福寺，原名圓福寺，清道光13年(1833)廣東先民李有厚奉佛祖來台，因佛光普照有求必應，後建寺於嘉義公園附近，主祀釋迦牟尼佛。大正5年(1916)，日人為擴展公園用地，由有志人士募捐遷建義士廟(供奉清康熙時朱一貴之犧牲的五百三位義民)為鄰。民國69（1980）年交由佛光山管理，隔年在佛光山開山宗長星雲大師的指示下重新改建，並正式更名為佛光山嘉義圓福寺。<br>圓福寺以教育培養人才、以文化弘揚佛法、以慈善福利社會、以共修淨化人心為理念，實踐寺院學校化，學校寺院化的功能，因此常舉辦監獄皈依三寶甘露灌頂暨佛學講座、佛光山全省巡迴甘露灌頂皈依三寶典禮禪淨密三修法會等等；且每年在浴佛節盛大舉行浴佛儀式，並為弘揚佛祖慈悲，同時在浴佛節當日為考生舉行祈福活動，期望所有考生皆能考試順利；對於穩定嘉義地區考生的心情有相當大的助益。<br>寺內腹地頗為廣大，步上石階首先迎面而來的是供奉三寶佛的小殿，小殿內接齋堂，殿口有星雲法師親題的詩偈一首；寺中亦有最引以為傲、也是全省獨一無二歷時三年建築而成的「華藏寶殿」。殿中供奉華嚴三聖，四壁鑲有相好莊嚴的八十八佛和數千尊十方佛，以及敦煌的壁飾，殿上的藻井更是考據莫高窟，以飛天雲際騰翔。<br>日後來到嘉義，除了到嘉義公園漫步外，也可就近來到圓福寺來一趟身心沉澱之旅，尤其一到拱門面前便會看到警示語錄的對句，讓人感覺有種心理誠敬之感。所以圓福寺不單單僅是間寺廟，更是富有教育及淨化人心的心靈之窗，而寺中志工熱心服務，讓初來到此參訪的信眾有著無比的溫暖與慈悲。,http://fun.chiayi.gov.tw/cy2012/images/414/images/圓福寺1.jpg
阿水米糕,美食饗宴;國民美食;後火車站商圈,23.486117,120.439295,嘉義市自由路71號,05-2326394,夫妻相扶持，一攤的幸福。<br>阿水米糕早期是推著傳統的全木造三輪古董車賣米糕，據第二代老闆的說法，那臺木造古董車沒能保留下來相當的可惜，因為這是父母為了承擔家計的生財器具，就像當年農家裡的牛一樣，農夫對老牛的情感，更像阿水夫婦當年對這臺車的情感那麼的深厚。<br>來到這您可能會感到相當的好奇，沒有亮麗的裝潢與餐桌椅，賣的東西卻簡單的不能再簡單，這裡只賣三樣餐點：筒仔米糕，碗粿及排骨酥湯。就這三樣東西，因此阿水米糕店內的菜單僅有三。老闆表示，曾有位北上工作的嘉義子弟，每次休假回到嘉義，必定來打卡，才能一解鄉愁味。<br>開業至今已是邁入第六十個年頭了，唯一沒變的就是柴燒的大灶，以目前瓦斯和電力的盛行，這大灶儼然成為另一個木造三輪車的存在，現在的他們堅持用柴燒來蒸煮純米製作的米糕與碗粿，剛出籠的米糕淋上紅紅的糯米醬再灑上切末的香菜之後，那才是道地的家鄉味；店內另一個主角－碗粿則有分偏瘦或半肥瘦口味，由於是純米炊蒸，放涼之後再吃則更顯Q彈；排骨酥更是老闆親自手工剁切與炸酥，這是老闆說因為古董臺車沒能留下來，這是唯一能替阿水米糕保持與保留原味的作法。<br>現在因為大眾使用便利性較佳的木製筷子，否則前幾年吃碗粿可不是用筷子而是小小的竹片，因為吃碗粿能將碗粿吃的精光真的是靠這竹片，現在的人要用到竹片來吃碗粿的機會更低了，這也是阿水米糕的另一個可惜。當您來到嘉義時，是否也會想要嚐嚐這風糜嘉義六十年的好滋味呢？提醒您，要品嚐阿水米糕一定要早上來，來晚了可就沒口福了！,http://fun.chiayi.gov.tw/cy2012/images/473/images/阿水米糕1.jpg
六合上海小籠湯包,美食饗宴;國民美食,23.500605,120.451789,嘉義市保健街88號,05-2777711,你相信做善事會有好報嗎？<br>就讀南亞工專的小江，那個時候有機會到大賣場去打工賣水果磨練自己。服兵役時在高雄鳳山當輔導長，常常在部隊的廚房看到弟兄們製作包子、饅頭的過程，同時也想起在永和賣上海小籠湯包的阿姨，覺得湯包的製作方式非常有趣。<br>退伍後的小江參加一個協會，那時協會都會在嘉義高中或是中山公園義賣，所得的款項主要是捐助腦痲協會、華山基金會之用。義賣時他會拜託在永和的阿姨送上海小籠湯包來一起贊助義賣，因為阿姨的上海小籠湯包實在太好吃了！所以連續三年銷售成績都非常好。當時就有人建議江先生不如也在嘉義賣小籠湯包，於是江先生就北上跟阿姨學做小籠湯包。一開始江先生不會包湯包，為了能讓自己的手藝更純熟，於是他就去買工藝黏土回來自行練習包小籠包。<br>開始賣上海小籠湯包時，爸爸、媽媽、弟弟和弟媳婦都一起來幫忙，試賣期間做的量並不多，客人認為：這家湯包一定很好吃！不然怎麼這麼快就賣完了！明天一定要早一點來買湯包。<br>江先生要拓展上海小籠湯包的生意，便帶著湯包到早餐店介紹、請試吃。因為上海小籠湯包品質好而且價格親民，同時也靠著網友們在網路上的介紹傳播，因此漸漸打開知名度。江先生用得來的利潤再投入研究，領悟出自然的道理，像照顧麵糰一樣溫柔、醒麵、再將麵糰裡的氣泡甩出再靜、再醒。<br>江先生也已開發出好吃的素食上海小龍湯包，歡迎有興趣的朋友加入六合食品企業社一起經營上海小籠湯包，為社會盡一份善心。,http://fun.chiayi.gov.tw/cy2012/images/873/images/六合上海小籠湯包1.jpg
源興御香屋,美食饗宴;夜市小吃;風味茶飲;文化路商圈,23.479861,120.449359,嘉義市中山路321號,05-2253828,位於嘉義市地標「中央七彩噴水池」旁的源興御香屋，有別於一般的連鎖手調飲料店，堅持採用新鮮水果與嘉義冠軍茶品結合，並且現點、現榨、現調，為的就是要給每一位客人品嚐到含有新鮮果粒的嘉義好茶。<br>御香屋不分平日或假日，店外面總是排滿了等待飲料及正要點飲料的人龍，狹小的店裡頭幾個工作人員個個忙得應接不暇，騎樓下則堆疊著一簍簍滿滿的新鮮葡萄柚和百香果，水果的香氣不時撲鼻而來，沒錯！這就是嘉義市超人氣的飲料店「源興御香屋」。<br>御香屋自今尚未有任何一家加盟店或是分店，所以在店的門口還特別貼了告示：「本店自創店以來，尚未開放任何加盟及分店，僅此一家，為重視顧客及維護品質，請認明『源興』商標」。這是為給予顧客最好的品質、最天然的美味飲料保證。<br>店內最有名的就是「葡萄柚綠茶」跟「香橙百香果綠茶」。其中葡萄柚綠茶的作法是現場拿新鮮的葡萄柚來榨成果汁，每一杯都是可以看到葡萄柚的顆粒，再搭配上現泡的綠茶，酸酸甜甜的滋味還帶有綠茶特有的香氣，非常爽口而且解油膩。而香橙百香果綠茶則是以新鮮百香果真材實料的現壓現調而成，每一口也都喝得到百香果果粒，是店裡超人氣的果汁飲料。<br>來嘉義吃完火雞肉飯後再來一杯御香屋的葡萄柚綠茶，這樣的搭配正是嘉義在地人美食私房秘密，如果您來逛文化路夜市，或品嚐完嘉義美味小吃後，回程時請記得一定要來試試御香屋的手調飲品，而且最好一次買兩杯喔！因為一杯是絕對不夠的啦！,http://fun.chiayi.gov.tw/cy2012/images/481/images/源興御香屋1.jpg
萬傳綿被店,文化巡禮;藝術工藝,23.475993,120.461349,嘉義市朝陽街13號之1,05-2780753,在物資較為缺乏的年代，家中的物品舊了或壞了，總會拿到相關的修理店修復一下，像棉被這種屬於較貴重的生活用品，使用久了難免會變扁、變硬而失去彈性，這時候人們就會拿到棉被店讓師傅再一次把棉被翻鬆，使它回復到原本蓬鬆舒適的模樣。透過師傅的巧手，處理過後的棉被宛如新的一般，這樣的技藝稱之為「打棉被」、「彈棉被」或「翻棉被」。<br>不過由於時代的變遷，現在的棉被大都由工廠大量生產，而且使用較為便宜的化學棉，加上各項物質不予匱乏，舊棉被不合用時就將之丟棄，消費者不再有彈棉被的需求，因此在六、七○年代之後彈棉被的行業漸漸沒落，新一輩的年輕人幾乎不知什麼是彈棉被。<br>位於朝陽街的「萬傳棉被店」是嘉義市僅存幾家棉被店之一，老闆莊萬傳從事彈棉被及手工製作棉被已有50多年的歷史。由於對手工棉被的堅持，雖然生意不若以往，但仍熱愛這份工作，儘管其他棉被店因抵擋不住現代化棉被生產的衝擊而陸續關店，但他說：「只要我還能動的一天，我就會繼續做下去，否則老顧客找不到人彈棉被可怎麼辦！」就因對手工棉被的這份情感，棉被店的客源多半是幾十年的老顧客，也有不少是鄰居及親朋好友推薦而來，成為支撐棉被店繼續經營下去的動力。<br>彈棉被是一份辛苦的工作，師傅揹著如弓弦的工具，右手拿槌子輕輕槌動，彈著棉花使其蓬鬆，把一長條的棉花一層一層平均堆疊，橫的、直的均勻鋪上去，牽棉線將蓬鬆的棉花固定，一針一線縫牢固定，讓紗線跟棉花成為一體，變作一件溫暖的棉被。一整天下來頂多只能打兩、三件棉被。年輕人不喜歡繼承這樣乏味又無法賺大錢的技藝，雖然莊萬傳已將這項手藝傳承給兒子，但仍期望有更多人能瞭解這流傳已久的工藝。,http://fun.chiayi.gov.tw/cy2012/images/908/images/萬傳綿被店1.jpg
HOTEL HI 高橋商務旅館,交通住宿;住宿,23.470116,120.440068,嘉義市新民路784-1號,05-2852121,HOTEL HI把熱情傳遍世界「Hi」是我們彼此熱情的語言，歡迎來到HOTEL HI感受這份熱情的震撼力！！<br><br>嘉義HOTEL HI於2012年5月創立，全館107間合法客房，我們用創意激發出另一個層次的享受，讓您在每個角落都能體驗放鬆、感受舒適每間客房流露著精緻現代的氛圍空間寬敞、設備完善 無論您這趟旅行的目的是商務或渡假，歡迎您來盡情品味! 中西式自助餐聽，嚴選嘉義當令食材，給您享用當地料理美味。堅持當天新鮮現煮，為您補充活力能量，在裝璜現代感十足的氛圍裡，獨特的落地窗設計，有著陽光與音樂的佐伴，讓您愉快的享受著用餐時光。<br><br>設施：<br>．1F商務中心/電腦<br>．全館免費無線網路 <br>．2F餐廳/免費早餐餐飲服務 <br>．燙衣設備/櫃檯借用 <br>．嬰幼兒澡盆/櫃檯借用 <br>．免費室內外停車場/依抵達先後順序停車，恕無法預定保留 <br>．愛心傘/櫃檯借用<br>．網路線/櫃檯借用<br>．充電轉換器/櫃檯借用<br>服務：<br>．旅遊/交通諮詢 <br>．文件複印/傳真/收費制<br>．行李寄放 <br>．代叫計程車 <br>．代寄郵件/收費制  <br>．火車站、高鐵站預約接駁/收費制 <br>．代售國際電話卡<br>,http://fun.chiayi.gov.tw/cy2012/images/588/images/HOTEL HI商務旅館1.jpg
上裕手工蛋捲,美食饗宴;伴手禮,23.489846,120.452319,嘉義市博愛路一段17號,05-2771221,蛋捲濃郁的香氣，總能吸引著無數人為它瘋狂著迷！有別於機器大量生產，手工製作的蛋捲，每一根都充滿著扎實的感情與對美味的堅持。<br>上裕手工蛋捲位於嘉義市博愛路橋下，外觀就像是民宅一般，然而卻在網路上大紅大紫，吸引不少人團購。老闆顏瑞裕過去是機械師傅，在研發出品質穩定的蛋捲製作機器後，則開始自行開店創業。內斂中帶著樸實無華的性格，是支持上裕手工蛋捲老闆、老闆娘堅持手作蛋捲的原因，雖然有機器輔助，但美味的關鍵還是在於手工製作，隨著季節的變化，原料的攪拌還有蛋捲煎烤的時間也有所不同，這些都必須仰賴經驗調整。<br>走入上裕手工蛋捲的店裡，只看得到各式各樣口味的蛋捲，問老闆為何只賣蛋捲？老闆害羞的回答：因為對蛋捲情有獨鐘，所以店內只賣蛋捲！老闆總會仔細的跟每一位客人介紹各種口味蛋捲的美妙之處，並且熱情的先請客人試吃、品嚐，老闆愛分享的個性，讓客人全都變成了老主顧、老朋友。<br>店內蛋捲有芝麻、咖啡、抹茶、海苔、蔓越莓、奶油蛋素、紅趜蛋素、椰子等口味，全是現場烘焙，不含防腐劑及任何人工添料，蛋捲所用的雞蛋更是老闆堅持現場挑選新鮮的雞蛋，製作時全蛋不加水，這是老闆對品質的維護；而店裡面還有一種特別的黑鮪魚口味蛋捲，採用新鮮的黑鮪魚再製成黑鮪魚鬆，加入手工原味蛋捲中，咬一口除了有蛋捲的蛋香濃純，還有那黑鮪魚的魚香在口中四溢。而且為了讓每支蛋捲口感一致，剛做好的蛋捲連邊邊都得切除丟棄，老闆說：雖然浪費成本，但口感更紮實，｢只要顧客喜歡，就會繼續堅持下去｣。,http://fun.chiayi.gov.tw/cy2012/images/395/images/上裕手工蛋捲1.jpg
初和風精緻咖哩,美食饗宴;異國料理,23.483401,120.450413,嘉義市長榮街194號,05-2766096,初－邂逅在巷弄中，驚鴻一瞥！<br>初和風精緻咖哩是一棟屋齡已有80年歷史的日治時代木造房子，由原本的舊宿舍變身為美食料理餐廳。建築外觀與內部格局維持原本舊貌，不過橘黃的燈光映照在純白餐桌椅上，東洋混搭西方、老房釀出新味，兩種截然不同的元素，經過老闆的巧思，和順地融合新與舊的時代氛圍。<br>初和風精緻咖哩的老闆全身散發著一種文人的氣質，給人的印象是溫和、龜毛，另外再加一點霸氣。原來老闆林先生的父親是嘉義人，母親是日本人，幼年時隨父母北上，老闆從事貿易退休後，帶著一股不甘寂寞且蠢蠢欲動的心回到嘉義，不為營利！只為提昇嘉義的咖哩美食。<br>老闆林先生用9個月的時間，觀察嘉義人吃的喜好，並親自到印度去學習咖哩，在充份的做了市調後鎖定年輕族群為主要客群。開業後，老闆每天堅持親自挑選食材，就連一根蔥也不馬虎，老闆甚至曾經為了買不到要求中的肉品，而和肉商大吵一架！肉商說：像您這麼挑，沒有人可以和您做生意啦！老闆回答肉商說：我請您到我店裡來吃炸豬排，您就會知道我要求的品質是什麼了！堅持肉商要給最好的，更嚴格的堅持不用瘦肉精及人工合成的豬排！就連紅茶也是從英國進口，再加上老闆的創意和不安份，才能料理出一道道美味的精緻咖哩。<br>有機會從巷弄經過的時候，不妨停下腳步，提起您的手向左滑開會發出機喳聲響的木門，脫下您的鞋子，點一份香氣濃郁的咖哩飯或是濃稠順滑的咖哩烏龍麵，沉浸在老房子的溫馨氛圍裡，好好地享受一餐咖哩料理！,http://fun.chiayi.gov.tw/cy2012/images/479/images/初和風精緻咖哩1.jpg
